network_type,model,node,entity_type,is_seed,in_degree,out_degree,total_degree,degree_centrality,betweenness,pagerank,total_degree_rank,betweenness_rank,pagerank_rank
expanded_second_pass,arc_apex,Byron De La Beckwith,person,False,0,1,1,0.008771929824561403,0.0,0.0023978201906932096,90.0,63.0,90.0
expanded_second_pass,arc_apex,Medgar Evers,activist,True,2,2,4,0.03508771929824561,0.03493246390312063,0.004879117823600157,37.0,11.0,53.0
expanded_second_pass,arc_apex,Carl Rachlin,person,False,0,3,3,0.02631578947368421,0.0004916420845624385,0.0023978201906932096,51.0,53.0,90.0
expanded_second_pass,arc_apex,Israel S. (Sy) Dresner,person,False,1,3,4,0.03508771929824561,0.004960062621916373,0.0030772385655836766,37.0,30.0,83.0
expanded_second_pass,arc_apex,Charles McDew,person,False,0,1,1,0.008771929824561403,0.0,0.0023978201906932096,90.0,63.0,90.0
expanded_second_pass,arc_apex,Chicago campaign,campaign,False,2,1,3,0.017543859649122806,0.0,0.006800535169712292,51.0,63.0,36.0
expanded_second_pass,arc_apex,Lyndon Johnson,person,False,3,3,6,0.03508771929824561,0.0007374631268436579,0.006586567528237833,21.0,51.0,38.0
expanded_second_pass,arc_apex,Diane Nash,activist,True,1,0,1,0.008771929824561403,0.0,0.003748776842656121,90.0,63.0,70.0
expanded_second_pass,arc_apex,Ella Baker,activist,True,3,4,7,0.043859649122807015,0.013477163092905997,0.011196016983420187,15.0,18.0,22.0
expanded_second_pass,arc_apex,Fannie Lou Hamer,activist,True,1,2,3,0.02631578947368421,0.009180212609416148,0.003748776842656121,51.0,21.0,70.0
expanded_second_pass,arc_apex,Florida,place,False,4,2,6,0.05263157894736842,0.005304004849882815,0.0339295631205483,21.0,26.0,5.0
expanded_second_pass,arc_apex,Freedom Singers,organisation,False,2,2,4,0.017543859649122806,0.0,0.010033415853543469,37.0,63.0,24.0
expanded_second_pass,arc_apex,Harry Belafonte,person,False,1,1,2,0.017543859649122806,0.0,0.003748776842656121,72.0,63.0,70.0
expanded_second_pass,arc_apex,James Lawson,activist,True,1,2,3,0.02631578947368421,0.0,0.003748776842656121,51.0,63.0,70.0
expanded_second_pass,arc_apex,Jeanne Theoharis,person,False,1,2,3,0.02631578947368421,0.0001293794959374838,0.003748776842656121,51.0,61.0,70.0
expanded_second_pass,arc_apex,Julian Bond,person,False,2,3,5,0.043859649122807015,0.012629809683838566,0.005342016490384802,29.0,19.0,46.0
expanded_second_pass,arc_apex,Malcolm X,activist,True,2,3,5,0.043859649122807015,0.02236474436792781,0.008437557399349266,29.0,16.0,30.0
expanded_second_pass,arc_apex,March,publication,False,2,1,3,0.02631578947368421,0.0,0.004738129798122383,51.0,63.0,55.0
expanded_second_pass,arc_apex,Mississippi Freedom Schools,organisation,False,1,1,2,0.017543859649122806,0.0,0.003748776842656121,72.0,63.0,70.0
expanded_second_pass,arc_apex,Montgomery,place,False,2,1,3,0.02631578947368421,0.0,0.005609793605747711,51.0,63.0,43.0
expanded_second_pass,arc_apex,National Association for the Advancement of Colored People,organisation,True,10,8,18,0.14035087719298245,0.115148956046003,0.019220103862420148,4.0,4.0,12.0
expanded_second_pass,arc_apex,Rosa Parks,activist,True,2,1,3,0.02631578947368421,0.00019924442374372506,0.005342016490384802,51.0,59.0,46.0
expanded_second_pass,arc_apex,Seattle,place,False,2,0,2,0.017543859649122806,0.0,0.006041781227548904,72.0,63.0,39.0
expanded_second_pass,arc_apex,Selma,place,False,6,1,7,0.06140350877192982,0.004279380851341728,0.017936901942774183,15.0,33.0,14.0
expanded_second_pass,arc_apex,Septima Clark,person,False,1,1,2,0.008771929824561403,0.0,0.003748776842656121,72.0,63.0,70.0
expanded_second_pass,arc_apex,Watts,place,False,2,0,2,0.017543859649122806,0.0,0.005609793605747711,72.0,63.0,43.0
expanded_second_pass,arc_apex,lunch counter sit-ins,campaign,False,2,2,4,0.03508771929824561,0.007831469708507436,0.006041781227548904,37.0,23.0,39.0
expanded_second_pass,arc_apex,sit-in movement,movement,False,2,1,3,0.017543859649122806,0.0,0.010033415853543469,51.0,63.0,24.0
expanded_second_pass,arc_apex,Cleveland Sellers,person,False,0,1,1,0.008771929824561403,0.0,0.0023978201906932096,90.0,63.0,90.0
expanded_second_pass,arc_apex,Dave Dennis,person,False,1,9,10,0.07894736842105263,0.025782129680181683,0.004690824575585992,9.0,14.0,56.0
expanded_second_pass,arc_apex,Council of Federated Organizations,organisation,False,1,2,3,0.02631578947368421,0.0016609614383742296,0.0028408626989287556,51.0,40.0,84.0
expanded_second_pass,arc_apex,Mississippi Freedom Summer,campaign,False,2,1,3,0.02631578947368421,0.0016609614383742296,0.004048313660365612,51.0,40.0,67.0
expanded_second_pass,arc_apex,Freedom Summer,campaign,False,4,0,4,0.03508771929824561,0.004742820643003924,0.015188618582320536,37.0,32.0,18.0
expanded_second_pass,arc_apex,James Chaney,person,False,2,2,4,0.03508771929824561,0.0011905377997599702,0.004563305238294717,37.0,46.0,57.0
expanded_second_pass,arc_apex,Schwerner,person,False,2,1,3,0.02631578947368421,0.0004380420076740524,0.004563305238294717,51.0,55.0,57.0
expanded_second_pass,arc_apex,Dennis,person,False,0,1,1,0.008771929824561403,0.0,0.0023978201906932096,90.0,63.0,90.0
expanded_second_pass,arc_apex,Dorie Ladner,person,False,0,2,2,0.017543859649122806,0.0,0.0023978201906932096,72.0,63.0,90.0
expanded_second_pass,arc_apex,Freedom houses,campaign,False,2,2,4,0.02631578947368421,0.00021865134813434765,0.009701586763916258,37.0,58.0,26.0
expanded_second_pass,arc_apex,Mennonite House,place,False,1,1,2,0.017543859649122806,7.76276975624903e-05,0.003991059838421891,72.0,62.0,68.0
expanded_second_pass,arc_apex,Federal Bureau of Investigation,organisation,False,1,2,3,0.017543859649122806,0.0,0.0042588369537848,51.0,63.0,61.0
expanded_second_pass,arc_apex,Len Holt,person,False,1,0,1,0.008771929824561403,0.0,0.006675118042670148,90.0,63.0,37.0
expanded_second_pass,arc_apex,"Montgomery, Alabama",place,False,3,0,3,0.02631578947368421,0.001318965152220858,0.02504102651486166,51.0,44.0,8.0
expanded_second_pass,arc_apex,Freedom Schools,organisation,False,0,1,1,0.008771929824561403,0.0,0.0023978201906932096,90.0,63.0,90.0
expanded_second_pass,arc_apex,Howard Zinn,person,False,0,2,2,0.017543859649122806,0.0011481058057676596,0.0023978201906932096,72.0,49.0,90.0
expanded_second_pass,arc_apex,I Have a Dream speech,publication,False,0,1,1,0.008771929824561403,0.0,0.0023978201906932096,90.0,63.0,90.0
expanded_second_pass,arc_apex,Intifadah Movement,movement,False,0,2,2,0.017543859649122806,0.0,0.0023978201906932096,72.0,63.0,90.0
expanded_second_pass,arc_apex,James Forman,activist,True,0,2,2,0.017543859649122806,0.0,0.0023978201906932096,72.0,63.0,90.0
expanded_second_pass,arc_apex,open housing movement,movement,False,2,1,3,0.02631578947368421,0.0013494281426279554,0.005646178750501018,51.0,43.0,42.0
expanded_second_pass,arc_apex,Jean Wiley,person,False,0,1,1,0.008771929824561403,0.0,0.0023978201906932096,90.0,63.0,90.0
expanded_second_pass,arc_apex,Mary King,person,False,1,1,2,0.017543859649122806,0.0,0.003911426085027028,72.0,63.0,69.0
expanded_second_pass,arc_apex,University of Oxford,place,False,1,0,1,0.008771929824561403,0.0,0.004788627791395814,90.0,63.0,54.0
expanded_second_pass,arc_apex,Monson Motor Lodge,place,False,1,1,2,0.017543859649122806,0.0,0.0042588369537848,72.0,63.0,61.0
expanded_second_pass,arc_apex,Montgomery Improvement Association,organisation,False,1,2,3,0.02631578947368421,0.002066509798228475,0.0042588369537848,51.0,38.0,61.0
expanded_second_pass,arc_apex,Newcastle upon Tyne,place,False,1,0,1,0.008771929824561403,0.0,0.0042588369537848,90.0,63.0,61.0
expanded_second_pass,arc_apex,Poor People's Campaign,campaign,False,1,0,1,0.008771929824561403,0.0,0.0042588369537848,90.0,63.0,61.0
expanded_second_pass,arc_apex,Mississippi Goddamn,publication,False,1,0,1,0.008771929824561403,0.0,0.0044715120241823406,90.0,63.0,59.0
expanded_second_pass,arc_apex,Miami,place,False,2,1,3,0.02631578947368421,0.000146630095395815,0.016962419493480894,51.0,60.0,15.0
expanded_second_pass,arc_apex,NAACP Richland County Citizens Committee,organisation,False,1,0,1,0.008771929824561403,0.0,0.003247188294198632,90.0,63.0,80.0
expanded_second_pass,arc_apex,Rev. I. De Quincy Newman,person,False,1,1,2,0.017543859649122806,0.0,0.003247188294198632,72.0,63.0,80.0
expanded_second_pass,arc_apex,Richland County Citizens Committee,organisation,False,1,0,1,0.008771929824561403,0.0,0.003247188294198632,90.0,63.0,80.0
expanded_second_pass,arc_apex,Roy Wilkins,person,False,2,2,4,0.02631578947368421,0.001171069266085568,0.005289363924186866,37.0,47.0,50.0
expanded_second_pass,arc_apex,Gibson v. Florida Legislative Investigation Committee,law,False,1,0,1,0.008771929824561403,0.0,0.004439995820681443,90.0,63.0,60.0
